"JURISDICTION","Camera_Fines","Police_Fines","Total_Fines","Camera_Percentage","Police_Percentage","Urban_Score"
"ACT",858985,5016,864001,99.41944511638296,0.5805548836170328,17124.900318979267
"NSW",10017122,1621275,11638397,86.06960219693485,13.930397803065148,617.8545897518927
"NT",471431,50119,521550,90.39037484421436,9.60962515578564,940.6233165067139
"QLD",12492839,863466,13356305,93.53514314026222,6.464856859737779,1446.8246578325031
"SA",2239609,131299,2370908,94.4620795070918,5.537920492908202,1705.7319553081136
"TAS",397363,138735,536098,74.1213360243836,25.8786639756164,286.4187119328215
"VIC",19747995,357041,20105036,98.2241215583996,1.775878441600403,5531.016045776256
"WA",9586156,675773,10261929,93.4147566212941,6.585243378705894,1418.546760524614
